NewsId,CreateDate,Source,Source_Type,Stock,Topic,Link
DB559120-1E3E-4BBA-9A3B-D04745098539,26:09.0,ข่าวหุ้นธุรกิจ,Website,A5,A5 ยื่นไฟลิ่งออกหุ้นกู้ 500 ล้านบาท ชูดอกเบี้ย 7% ลุยขายกองทุน-รายใหญ่ 9-11 ก.ค.67,https://www.kaohoon.com/news/678302
1E7DA68E-03A8-40EA-B5A0-B632B18C63AC,50:01.0,ข่าวหุ้นธุรกิจ,Website,A5,A5 ดีดบวก 4% รับแผน “ซื้อหุ้นคืน” วงเงิน 100 ล้าน เริ่ม 17 มิ.ย.นี้  ,https://www.kaohoon.com/breakingnews/678467
85213665-C13F-4296-8626-82C9F76793C3,50:22.0,RYT9,Website,A5,A5 ทุ่มงบ 100 ล้านบาท ซื้อหุ้นคืน 33 ล้านหุ้น เริ่ม 17 มิ.ย.-16 ธ.ค...,https://www.ryt9.com/s/prg/3523409
07089100-B61E-4819-BAE1-FEA90764D166,17:10.0,ข่าวหุ้นธุรกิจ,Website,AAI,AAI-ITC กอดคอเด้ง! รับยอดส่งออก “อาหารสัตว์เลี้ยง” ขยายตัว 8 เดือนติด,https://www.kaohoon.com/breakingnews/680974
0D3AF5EC-1F76-4961-9BDC-E0DCA8B87036,41:55.0,RYT9,Website,AAI,HILITE: AAI-ITC เด้งขึ้นรับยอดส่งออกอาหารสัตว์เลี้ยงสดใสโตต่อเนื่องเป็นเดือนที่...,https://www.ryt9.com/s/iq05/3525931
02477DC8-01BD-4BA3-9DCD-DD67EF9A1FE8,07:05.0,ข่าวหุ้นธุรกิจ,Website,AAV,AAV โบรกแนะสะสมเป้า 3.20 บาท ลุ้น Q2 สดใส ดันทั้งปีกำไรแตะ 2.3 พันล้านบาท,https://www.kaohoon.com/stockanalysis/678802
A8DF1419-F285-48B8-BF32-A3F07ADAB3C2,00:35.0,ข่าวหุ้นธุรกิจ,Website,ADB,TIDLOR เซ็นสัญญากู้เงิน ADB วงเงิน 5.5 พันล้าน ลุยปล่อยสินเชื่อกลุ่ม “MSMEs-เกษตรกร”,https://www.kaohoon.com/news/679754
FCAB5D1A-855E-404A-9921-5C30C2165599,25:25.0,RYT9,Website,ADB,ADB หนุนเงินทุน TIDLOR 5.5 พันลบ.ปล่อยสินเชื่อกลุ่ม MSMEs ทั้งสตรี-เกษตรกรในตจว.,https://www.ryt9.com/s/iq05/3524504
C7CD2572-4491-4EB6-8527-480CFA01B881,25:25.0,RYT9,Website,ADB,TIDLOR สถาบันการเงินแห่งแรก ที่ได้รับเงินทุนจาก ADB สถาบันการเงินระดับเอเชีย เพื่อให้สินเชื่อกลุ่ม...,https://www.ryt9.com/s/prg/3524488
7849A283-7845-430B-8E44-96585873AA25,01:00.0,EfinanceThai,Website,ADVANC, วันนี้มีบิ๊กล็อต 15 หลักทรัพย์ ADVANC-F ซื้อขายสูงสุด 95.73 ลบ.,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=cjdNNGhHVFFRejg9&security=ADVANC-F
88FC85E2-65A4-47D2-A832-D714DF47A7B5,04:49.0,ข่าวหุ้นธุรกิจ,Website,ADVANC,ADVANC ผนึก Looloo Technology ออกแบบพิมพ์เขียว AI ลุ้นใช้ไตรมาส 4/67,https://www.kaohoon.com/news/680136
CE17CF4D-58A8-471E-BD75-A429314E50C4,11:00.0,EfinanceThai,Website,ADVANC, ADVANC เทรดคึกคัก ท่ามกลางข่าวสะพัด GULF เตรียมเข้าถือหุ้นโดยตรงแ...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=ZEZmMEh6UVhONlE9&security=ADVANC
CEFB0407-2FEA-4EE3-880D-43562111A1BC,12:00.0,EfinanceThai,Website,ADVANC, ADVANC รุกติดตั้งระบบผลิตโซลาร์ฟาร์มสถานีฐาน 20 แห่ง หวังขยายพื้น...,https://www.efinancethai.com/LastestNews/LatestNewsMain.aspx?ref=A&id=ejVlcUN6OUV1aVk9&security=ADVANC
C2A720D1-7063-40C0-8D93-AC6B412BDE9D,18:10.0,ข่าวหุ้นธุรกิจ,Website,ADVANC,สรุปกระดานรายใหญ่วันนี้ ADVANC-F มูลค่าสูงสุด 95.72 ล้านบาท,https://www.kaohoon.com/summary/680709
573664CA-0D65-4DB7-B85C-24D870251A72,23:28.0,ข่าวหุ้นธุรกิจ,Website,ADVANC,ADVANC ส่ง AWN ผนึก “GULF 1” ลุยติดตั้ง “โซลาร์ฟาร์ม-ระบบเก็บพลังงาน” 20 แห่ง,https://www.kaohoon.com/news/679514
