BaroId,CreateDate,Baro_Index,DateTime_T4
44D564F4-D0A8-4F68-A7D0-94A7FCEFE985,19/08/2016,42.81,25/08/2016
67A99050-2507-4C3C-8992-2E24C481AD9C,22/08/2016,9.42,26/08/2016
B859C25E-0FD9-4EC7-867A-D4DDBA4F3CFE,23/08/2016,13.72,29/08/2016
200F93C4-D4BB-4E00-8EC3-E36499C5CC9D,24/08/2016,3.03,30/08/2016
1E311B1D-1096-4BF9-BFD8-0F7032499E20,25/08/2016,4.26,31/08/2016
88AAF933-639A-425E-ACD6-197BD9EF729C,26/08/2016,7.35,01/09/2016
00D40E8E-EEB2-499F-81A0-AE5FC824972E,29/08/2016,13.56,02/09/2016
2913A2C5-A74B-4FD7-816B-E0D1AB97AD14,30/08/2016,5.24,05/09/2016
00D02C1C-3EDB-412D-8962-8B2E0DC13E10,31/08/2016,44.44,06/09/2016
DC123054-E4E2-40F6-9B92-ED6985A59CCA,01/09/2016,3.78,07/09/2016
0A7E952F-E4B9-43C6-B4A0-4A60F6B1AFC0,02/09/2016,4.6,08/09/2016
2A591594-DD9B-4ECB-B5F3-F83722DD0055,05/09/2016,5.2,09/09/2016
8B22FFC1-4989-456E-82E5-A0FC8BC7F81C,06/09/2016,85.88,12/09/2016
B54D5E03-0F7B-40C5-95F6-840406D0966D,07/09/2016,98.41,13/09/2016
65F60D8B-C1EE-458A-BEFE-3069FABF739E,08/09/2016,99.89,14/09/2016
DE2D2664-F4D6-4867-8AAB-D7441FAB048A,09/09/2016,100,15/09/2016
E803DEA1-3C6B-49E3-8568-DF5BD12EA043,12/09/2016,99.38,16/09/2016
B0122715-4C03-443C-B6F8-390A02F3EE9C,13/09/2016,100,19/09/2016
2893C168-2835-436F-89D3-516867F765D4,14/09/2016,83.3,20/09/2016
32335B4F-D933-414A-8106-AE6EC00310C7,15/09/2016,86.37,21/09/2016
0240B633-EE41-48D9-B1F2-9066FA8A1AC0,16/09/2016,69.33,22/09/2016
86E4E880-CAE5-45A8-B96F-1FE7B867DE3D,19/09/2016,65.5,23/09/2016
B3FB3D26-6416-4AC5-8ED4-146A76DF2B83,20/09/2016,75.69,26/09/2016
DECA757B-EF7D-4966-B0E8-D7C6B616E8D5,21/09/2016,68.06,27/09/2016
DE9A809C-944B-434B-9270-880028BA384C,22/09/2016,59.29,28/09/2016
DC4384C6-23D5-478B-987A-E054B3955F69,23/09/2016,55.38,29/09/2016
DCA5FB89-6B71-45E6-BEF2-36477D475E06,26/09/2016,60.1,30/09/2016
4485BB1E-D87C-4A63-A768-AD9BADB1E441,27/09/2016,77.13,03/10/2016
B0F1D540-A25E-4D7D-B76C-82B4DF0076F4,28/09/2016,85.11,04/10/2016
B39EA1AD-16CA-45A0-B681-66F640600949,29/09/2016,84.45,05/10/2016
B9BD5C64-C924-4727-B422-B21C34070E0B,30/09/2016,84.57,06/10/2016
36FE9752-8C0A-4B57-9680-C78A0569BEAA,03/10/2016,78.72,07/10/2016
4BFA55CD-DDEB-4AC8-B9D8-5AFEF3673949,04/10/2016,67.32,10/10/2016
D4992B3F-4B36-4EF8-AF27-D11077492ADD,05/10/2016,80.42,11/10/2016
B89C0FCA-7863-4B78-B9D6-7E100115ACE1,06/10/2016,71.91,12/10/2016
573D7F14-7C08-4F56-87FD-FFA4F1429538,07/10/2016,74.53,13/10/2016
EC0BB45B-BE4B-4D98-B235-41D86084EB47,10/10/2016,84.16,14/10/2016
29B34299-D1E8-4841-AEEA-3E1BB94E79E9,11/10/2016,76.39,17/10/2016
EB8AD0A6-4873-4B09-8D67-A07E0D3CAAA9,12/10/2016,81.01,18/10/2016
690C645C-9F28-4550-9682-618F6B27167C,13/10/2016,71.49,19/10/2016
57F31C8C-D88E-48E0-8D0D-C92FAD32E251,14/10/2016,50,20/10/2016
93B0B2C2-C86F-49B5-8B17-41313DEFF10D,17/10/2016,49,21/10/2016
F92166BB-65C6-467A-ACFF-1ECAB7D3497C,18/10/2016,77.74,25/10/2016
1ED27431-5CDD-42F1-B6A4-A77765FE6244,19/10/2016,79.71,26/10/2016
B86705FE-4BF7-443D-BFF7-87E74CB39228,20/10/2016,80.73,27/10/2016
F9876D57-0ED0-4AEC-9CA3-E33D8C61D7E4,21/10/2016,71.34,28/10/2016
2A446527-5B67-4B7C-B8ED-3E5CBBBB3BB3,25/10/2016,68.26,31/10/2016
3E81CC07-09CA-4BBE-B109-D861CECDE208,26/10/2016,84.67,01/11/2016
28E4C42A-FC84-48C0-9F48-3BEA3BC270B1,27/10/2016,82.08,02/11/2016
