,Index Name,Annual Return,Cumulative Returns,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,1_Train,1_Test,1_CV,2_Train,2_Test,2_CV
^SET.BK,SET Index,0.048420177,0.254174321,0.140609592,0.406760045,0.582300098,-0.207348815,0.233520392,0.710144928,0.487603306,0.494194301,0.702898551,0.5,0.491708103
ADVANC.BK,Advanced Info Service Public Company Limited,0.07152525,0.393728704,0.169446102,0.492198366,0.739376563,-0.211182843,0.338688733,0.680082559,0.58436214,0.479485087,0.616099071,0.58436214,0.499292589
AOT.BK,Airports of Thailand Public Company Limited,0.013579667,0.066965594,0.253457613,0.177323475,0.28512624,-0.274074116,0.049547427,0.651186791,0.617283951,0.529711254,0.609907121,0.621399177,0.552814339
AWC.BK,Asset World Corp Public Company Limited,-0.008234451,-0.032945784,0.368752299,0.160212879,0.242944999,-0.47636362,-0.017286063,0.671970624,0.629268293,0.570373027,0.643818849,0.634146341,0.601731229
BANPU.BK,Banpu Public Company Limited,0.156894602,1.014474835,0.373262212,0.576007358,0.887071287,-0.516535091,0.303744324,0.655314757,0.617283951,0.542121552,0.607843137,0.646090535,0.561884842
BBL.BK,Bangkok Bank Public Company Limited,0.123659431,0.751168228,0.239986662,0.605371188,0.915641764,-0.29492191,0.419295503,0.630546956,0.567901235,0.558630072,0.618163055,0.567901235,0.571788593
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,0.089254211,0.508087923,0.2188704,0.499697956,0.752590365,-0.255319246,0.34957886,0.640866873,0.687242798,0.576720063,0.631578947,0.679012346,0.604788627
BEM.BK,Bangkok Expressway and Metro Public Company Limited,0.016167638,0.080121032,0.219351234,0.1824963,0.267032791,-0.262509353,0.061588807,0.688338493,0.592592593,0.58010067,0.646026832,0.604938272,0.580967928
BGRIM.BK,B.Grimm Power Public Company Limited,-0.052144745,-0.226905658,0.293052336,-0.036627551,-0.053246883,-0.599502032,-0.086980098,0.666666667,0.576131687,0.52657552,0.617131063,0.58436214,0.536445261
BH.BK,Bumrungrad Hospital Public Company Limited,0.151608429,0.970624105,0.25380333,0.681912178,1.092260114,-0.281528812,0.538518343,0.667698658,0.567901235,0.490045233,0.600619195,0.58436214,0.521371969
BTS.BK,BTS Group Holdings Public Company Limited,-0.035333355,-0.158751959,0.230864963,-0.040585247,-0.059335058,-0.388201427,-0.091018097,0.689370485,0.432098765,0.560197939,0.648090815,0.637860082,0.566775499
CBG.BK,Carabao Group Public Company Limited,0.083280924,0.468758064,0.318670312,0.408826554,0.640191218,-0.58964062,0.14124014,0.719298246,0.551440329,0.471261436,0.661506708,0.567901235,0.464639663
CENTEL.BK,Central Plaza Hotel Public Company Limited,0.20438656,1.444134049,0.35026548,0.705072755,1.097736909,-0.286956542,0.712256144,0.670794634,0.572016461,0.547070027,0.625386997,0.604938272,0.57268306
COM7.BK,Com7 Public Company Limited,0.219425194,1.594319288,0.356009033,0.736060087,1.106626751,-0.480657994,0.456510027,0.665634675,0.609053498,0.414189028,0.604747162,0.625514403,0.429068462
CPALL.BK,CP ALL Public Company Limited,-0.009121576,-0.043079904,0.181390615,0.039779548,0.058944086,-0.293182771,-0.031112253,0.656346749,0.604938272,0.570139101,0.610939112,0.58436214,0.57506717
CPF.BK,Charoen Pokphand Foods Public Company Limited,-0.001865915,-0.008934977,0.217472237,0.099652187,0.150166301,-0.425109491,-0.004389257,0.704850361,0.41563786,0.572608237,0.664602683,0.609053498,0.654286978
CPN.BK,Central Pattana Public Company Limited,0.092021599,0.52658957,0.298614343,0.443138857,0.678904072,-0.316513861,0.290734814,0.655314757,0.580246914,0.568486209,0.630546956,0.58436214,0.568499813
CRC.BK,Central Retail Corporation Public Company Limited,0.087041242,0.362061065,0.36140336,0.410368889,0.620678808,-0.355844186,0.244604928,0.669344043,0.513368984,0.504197573,0.611780455,0.604278075,0.569610718
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,0.965910329,24.74759627,0.685537086,1.321220188,2.213276306,-0.618208649,1.562434189,0.680082559,0.547325103,0.457086012,0.647058824,0.518518519,0.462044689
EA.BK,Energy Absolute Public Company Limited,0.069606364,0.381775385,0.334203325,0.365831698,0.581653228,-0.580872329,0.119830746,0.676986584,0.46090535,0.453773424,0.62125903,0.547325103,0.460391797
EGCO.BK,Electricity Generating Public Company Limited,-0.072444702,-0.303293849,0.223070385,-0.225280531,-0.320905003,-0.542786576,-0.133468116,0.673890609,0.485596708,0.463010577,0.610939112,0.49382716,0.477029555
GLOBAL.BK,Siam Global House Public Company Limited,0.11899522,0.71651174,0.295869061,0.528292582,0.787874094,-0.326465943,0.364495048,0.658410733,0.617283951,0.545457946,0.615067079,0.625514403,0.560296568
GPSC.BK,Global Power Synergy Public Company Limited,-0.002318914,-0.011094606,0.31052731,0.145929431,0.226448528,-0.566170161,-0.00409579,0.6625387,0.53909465,0.539604802,0.609907121,0.559670782,0.548705914
