,Stock,ค่าสถิติสำคัญ ณ วันที่,30 ธ.ค. 2563,30 ธ.ค. 2564,30 ธ.ค. 2565,28 ธ.ค. 2566,11 ก.ค. 2567
0,WHA,P/BV (เท่า),1.61,1.82,2.02,2.45,2.13
1,TU,P/BV (เท่า),1.25,1.59,1.29,0.89,1.13
2,TTB,P/BV (เท่า),0.51,0.68,0.64,0.72,0.74
3,TRUE,P/BV (เท่า),,,,1.78,3.70
4,TOP,P/BV (เท่า),0.98,0.87,0.81,0.75,0.69
5,TLI,P/BV (เท่า),,,1.90,1.06,0.80
6,TISCO,P/BV (เท่า),1.87,1.95,1.94,1.97,1.73
7,TIDLOR,P/BV (เท่า),,3.92,2.99,2.29,1.71
8,SCGP,P/BV (เท่า),-,3.12,2.40,1.99,1.66
9,SCC,P/BV (เท่า),1.50,1.29,1.04,0.96,0.74
10,RATCH,P/BV (เท่า),1.28,0.96,0.87,0.66,0.59
11,PTTGC,P/BV (เท่า),0.96,0.85,0.73,0.61,0.48
12,PTTEP,P/BV (เท่า),1.05,1.14,1.42,1.15,1.08
13,PTT,P/BV (เท่า),1.38,1.11,0.88,0.91,0.79
14,OSP,P/BV (เท่า),5.76,5.39,4.71,4.14,4.00
15,OR,P/BV (เท่า),,3.35,2.71,2.08,1.71
16,MTC,P/BV (เท่า),6.48,5.24,2.88,3.11,2.64
17,MINT,P/BV (เท่า),1.83,2.78,2.35,2.14,2.06
18,LH,P/BV (เท่า),2.00,2.19,2.38,2.03,1.35
19,KTC,P/BV (เท่า),7.15,5.98,5.13,3.31,2.61
20,KTB,P/BV (เท่า),0.46,0.52,0.68,0.66,0.59
21,KBANK,P/BV (เท่า),0.66,0.72,0.70,0.61,0.55
22,IVL,P/BV (เท่า),1.61,1.56,1.08,0.81,0.65
23,ITC,P/BV (เท่า),,,3.96,2.91,3.02
24,INTUCH,P/BV (เท่า),5.09,6.77,6.58,6.46,6.33
25,HMPRO,P/BV (เท่า),9.00,9.06,9.02,6.44,4.44
26,GULF,P/BV (เท่า),6.88,6.02,6.07,4.48,4.06
27,GPSC,P/BV (เท่า),2.06,2.37,1.92,1.27,1.08
28,GLOBAL,P/BV (เท่า),4.50,4.89,5.04,3.78,3.32
29,EGCO,P/BV (เท่า),1.00,0.82,0.70,0.53,0.51
30,EA,P/BV (เท่า),6.90,11.65,9.89,3.76,1.22
31,DELTA,P/BV (เท่า),16.43,12.96,20.11,17.08,15.44
32,CRC,P/BV (เท่า),3.18,3.49,4.37,3.66,2.67
33,CPN,P/BV (เท่า),3.22,3.54,4.02,3.55,2.64
34,CPF,P/BV (เท่า),1.17,1.02,0.81,0.68,0.81
35,CPALL,P/BV (เท่า),5.62,5.52,6.22,4.71,4.39
36,CENTEL,P/BV (เท่า),2.81,2.35,3.68,3.01,2.61
37,CBG,P/BV (เท่า),12.60,12.44,9.41,7.61,5.68
38,BTS,P/BV (เท่า),2.40,2.06,1.81,1.79,1.27
39,BJC,P/BV (เท่า),1.23,1.09,1.20,0.85,0.71
40,BH,P/BV (เท่า),5.18,6.75,9.33,8.01,7.52
41,BGRIM,P/BV (เท่า),4.65,3.59,3.29,1.81,1.52
42,BEM,P/BV (เท่า),3.25,3.41,3.97,3.31,2.98
43,BDMS,P/BV (เท่า),3.98,4.53,5.36,4.89,4.18
44,BCP,P/BV (เท่า),0.60,0.66,0.68,0.80,0.67
45,BBL,P/BV (เท่า),0.51,0.48,0.55,0.57,0.47
46,AWC,P/BV (เท่า),2.04,1.90,2.48,1.33,1.34
47,AOT,P/BV (เท่า),6.25,7.76,10.57,7.73,7.23
48,ADVANC,P/BV (เท่า),7.64,9.15,7.43,7.74,7.74
