,Stock,ค่าสถิติสำคัญ ณ วันที่,30 ธ.ค. 2563,30 ธ.ค. 2564,30 ธ.ค. 2565,28 ธ.ค. 2566,11 ก.ค. 2567
0,WHA,P/E (เท่า),20.01,26.19,18.83,16.32,13.96
1,TU,P/E (เท่า),10.83,12.04,10.05,14.87,-
2,TTB,P/E (เท่า),9.92,15.94,10.38,9.30,8.93
3,TRUE,P/E (เท่า),,,,-,-
4,TOP,P/E (เท่า),-,6.82,3.35,7.21,5.71
5,TLI,P/E (เท่า),,,20.77,11.67,9.08
6,TISCO,P/E (เท่า),11.26,11.60,11.02,10.90,10.56
7,TIDLOR,P/E (เท่า),,28.24,20.36,17.05,12.79
8,SCGP,P/E (เท่า),28.89,38.79,32.77,34.50,22.76
9,SCC,P/E (เท่า),13.66,9.87,13.90,13.50,23.67
10,RATCH,P/E (เท่า),15.18,8.39,11.41,15.18,11.79
11,PTTGC,P/E (เท่า),-,5.50,-,-,450.03
12,PTTEP,P/E (เท่า),12.28,15.24,10.63,8.02,7.85
13,PTT,P/E (เท่า),28.86,11.55,9.42,10.51,8.27
14,OSP,P/E (เท่า),30.67,31.61,34.66,28.66,28.17
15,OR,P/E (เท่า),,26.90,21.21,22.56,16.42
16,MTC,P/E (เท่า),25.14,23.89,15.92,20.35,16.84
17,MINT,P/E (เท่า),-,-,207.87,26.06,22.03
18,LH,P/E (เท่า),10.63,14.45,14.19,16.28,9.66
19,KTC,P/E (เท่า),28.78,25.67,22.84,15.58,13.56
20,KTB,P/E (เท่า),7.48,9.18,8.11,6.66,6.50
21,KBANK,P/E (เท่า),10.70,8.12,8.23,8.83,6.72
22,IVL,P/E (เท่า),-,10.94,4.78,-,-
23,ITC,P/E (เท่า),,,22.54,28.97,26.56
24,INTUCH,P/E (เท่า),17.56,23.82,24.13,19.57,17.37
25,HMPRO,P/E (เท่า),33.63,36.60,32.16,23.98,18.49
26,GULF,P/E (เท่า),120.22,82.95,71.59,33.68,33.77
27,GPSC,P/E (เท่า),28.90,32.89,82.46,49.19,34.22
28,GLOBAL,P/E (เท่า),34.45,30.94,29.02,32.61,31.66
29,EGCO,P/E (เท่า),10.70,18.58,23.40,12.05,-
30,EA,P/E (เท่า),33.58,62.79,49.47,19.08,8.18
31,DELTA,P/E (เท่า),102.70,83.09,78.14,61.32,59.22
32,CRC,P/E (เท่า),37.31,-,44.74,30.19,24.07
33,CPN,P/E (เท่า),19.04,34.37,32.49,22.62,15.95
34,CPF,P/E (เท่า),9.53,16.86,11.01,-,-
35,CPALL,P/E (เท่า),27.99,53.78,36.41,31.20,25.09
36,CENTEL,P/E (เท่า),-,-,1288.68,44.70,39.54
37,CBG,P/E (เท่า),33.14,38.04,38.84,49.02,30.15
38,BTS,P/E (เท่า),17.00,23.11,38.45,306.93,-
39,BJC,P/E (เท่า),27.20,34.94,29.65,20.94,21.61
40,BH,P/E (เท่า),49.81,144.49,42.13,25.86,26.21
41,BGRIM,P/E (เท่า),62.96,39.74,-,81.05,31.74
42,BEM,P/E (เท่า),63.34,109.11,67.20,37.70,32.25
43,BDMS,P/E (เท่า),46.24,47.54,38.00,32.58,27.85
44,BCP,P/E (เท่า),-,5.60,3.09,4.08,3.89
45,BBL,P/E (เท่า),9.93,10.27,10.07,7.41,6.22
46,AWC,P/E (เท่า),-,-,59.04,22.40,22.81
47,AOT,P/E (เท่า),205.82,-,-,97.10,49.35
48,ADVANC,P/E (เท่า),19.15,25.13,22.73,21.92,21.45
