,Index Name,Annual Return,Cumulative Returns,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,1_Train,1_Test,1_CV,2_Train,2_Test,2_CV
^SET.BK,SET Index,0.023804177,0.254174321,0.099175504,0.286922953,0.410728747,-0.207348815,0.114802569,0.655332303,0.514403292,0.484122014,0.588356517,0.526748971,0.483290484
ADVANC.BK,Advanced Info Service Public Company Limited,0.035012684,0.393728844,0.119598557,0.347380229,0.521849625,-0.211182898,0.165793178,0.61748072,0.593429158,0.534567901,0.585089974,0.59137577,0.549353986
AOT.BK,Airports of Thailand Public Company Limited,0.006741801,0.066965594,0.178858052,0.125176343,0.201241145,-0.274074116,0.02459846,0.646272494,0.597535934,0.486883667,0.596401028,0.587268994,0.502913614
AWC.BK,Asset World Corp Public Company Limited,-0.008234435,-0.032945721,0.368752213,0.160212876,0.242944973,-0.47636362,-0.017286029,0.671970624,0.634146341,0.571343855,0.643818849,0.634146341,0.600750837
BANPU.BK,Banpu Public Company Limited,0.075300237,1.01447513,0.263479622,0.406494072,0.626092003,-0.516535091,0.145779518,0.640616967,0.609856263,0.569889556,0.613881748,0.609856263,0.597442983
BBL.BK,Bangkok Bank Public Company Limited,0.059799273,0.751168073,0.169408518,0.427201487,0.646256677,-0.294921863,0.202763106,0.611311054,0.570841889,0.518494013,0.580462725,0.566735113,0.523425525
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,0.043508267,0.508087923,0.154484377,0.35267055,0.531175879,-0.255319157,0.170407375,0.63496144,0.630390144,0.5531067,0.612339332,0.626283368,0.570776823
BEM.BK,Bangkok Expressway and Metro Public Company Limited,0.008021486,0.080121104,0.154790395,0.128827752,0.188470909,-0.262509353,0.030556954,0.680719794,0.597535934,0.595377764,0.628791774,0.603696099,0.597441293
BGRIM.BK,B.Grimm Power Public Company Limited,-0.04056752,-0.226905742,0.257680212,-0.032212506,-0.046824212,-0.599502004,-0.067668697,0.685554669,0.557324841,0.484391852,0.613727055,0.595541401,0.500329664
BH.BK,Bumrungrad Hospital Public Company Limited,0.07284983,0.970624105,0.17917937,0.481168219,0.770913462,-0.28152883,0.25876508,0.610796915,0.546201232,0.519770832,0.580976864,0.544147844,0.542380071
BTS.BK,BTS Group Holdings Public Company Limited,-0.01776016,-0.158752052,0.162910211,-0.028650885,-0.041878573,-0.388201427,-0.045749858,0.681233933,0.640657084,0.634457204,0.646272494,0.636550308,0.637333638
CBG.BK,Carabao Group Public Company Limited,0.044767482,0.468757964,0.235778949,0.302506396,0.473684501,-0.589640662,0.075923329,0.625423729,0.564334086,0.486665373,0.579096045,0.573363431,0.506994678
CENTEL.BK,Central Plaza Hotel Public Company Limited,0.097067742,1.444134049,0.24728737,0.497494769,0.774779032,-0.286956542,0.338266349,0.645758355,0.572895277,0.553041634,0.605141388,0.572895277,0.570308684
COM7.BK,Com7 Public Company Limited,0.124913197,1.594319288,0.274301748,0.566822215,0.852416262,-0.480657994,0.259879579,0.660747091,0.525672372,0.488724292,0.611145132,0.584352078,0.495588235
CPALL.BK,CP ALL Public Company Limited,-0.004554345,-0.04307984,0.127998562,0.028082113,0.041602629,-0.293182771,-0.015534148,0.64781491,0.574948665,0.539051554,0.6,0.570841889,0.551796926
CPF.BK,Charoen Pokphand Foods Public Company Limited,-0.000929929,-0.008934882,0.153460939,0.070348168,0.105987031,-0.42510963,-0.002187504,0.676606684,0.655030801,0.57978976,0.648329049,0.64476386,0.609822462
CPN.BK,Central Pattana Public Company Limited,0.044828092,0.526589439,0.210758525,0.312769542,0.479168118,-0.31651381,0.141630761,0.649871465,0.572895277,0.53988812,0.616966581,0.574948665,0.546463187
CRC.BK,Central Retail Corporation Public Company Limited,0.087041261,0.362061153,0.361403374,0.410368936,0.620678839,-0.35584412,0.244605027,0.672021419,0.502673797,0.51599678,0.610441767,0.604278075,0.568529699
DELTA.BK,Delta Electronics (Thailand) Public Company Limited,0.400355945,24.74759627,0.484590252,0.931087845,1.562122928,-0.618208662,0.647606495,0.65655527,0.503080082,0.492557947,0.617994859,0.511293634,0.50160722
EA.BK,Energy Absolute Public Company Limited,0.034088933,0.381775302,0.235862103,0.258221866,0.410528849,-0.580872329,0.058685758,0.659125964,0.542094456,0.546858654,0.611825193,0.595482546,0.55632283
EGCO.BK,Electricity Generating Public Company Limited,-0.03676918,-0.30329373,0.157417638,-0.159027087,-0.226493573,-0.542786547,-0.06774151,0.631362468,0.570841889,0.538206539,0.584575835,0.579055441,0.553025579
GLOBAL.BK,Siam Global House Public Company Limited,0.057605572,0.71651174,0.208838128,0.372840793,0.556078871,-0.326465882,0.176452043,0.652956298,0.574948665,0.584295384,0.618508997,0.583162218,0.593345502
GPSC.BK,Global Power Synergy Public Company Limited,-0.001339172,-0.011094606,0.235885375,0.110886914,0.172043736,-0.566170084,-0.002365318,0.625967838,0.55,0.535498352,0.608695652,0.571428571,0.568369133
GULF.BK,Gulf Energy Development Public Company Limited,0.096525958,0.71364201,0.235203286,0.508658943,0.790544892,-0.28756084,0.33567143,0.679389313,0.610169492,0.488525308,0.621713316,0.613559322,0.522423614
HMPRO.BK,Home Product Center Public Company Limited,0.006711443,0.066655252,0.175889207,0.125717789,0.186000818,-0.258865758,0.025926344,0.654498715,0.60164271,0.533739786,0.618508997,0.620123203,0.560043434
INTUCH.BK,Intouch Holdings Public Company Limited,0.065319306,0.841165411,0.137388009,0.528782213,0.832809108,-0.235055399,0.277888983,0.627249357,0.566735113,0.530841382,0.603084833,0.568788501,0.544800196
IVL.BK,Indorama Ventures Public Company Limited,0.045554832,0.536863627,0.241906414,0.304441285,0.461599635,-0.532036059,0.08562358,0.652956298,0.587268994,0.572787115,0.62622108,0.597535934,0.574841348
KBANK.BK,Kasikornbank Public Company Limited,0.049490022,0.593580955,0.207366949,0.335549018,0.522642746,-0.395299058,0.125196407,0.624678663,0.552361396,0.522228137,0.590231362,0.54825462,0.528808274
KCE.BK,KCE Electronics Public Company Limited,0.151745864,2.907482126,0.284047079,0.638240578,1.005727623,-0.594174656,0.255389325,0.634447301,0.560574949,0.503276126,0.593316195,0.564681725,0.532499303
KTB.BK,Krung Thai Bank Public Company Limited,0.071471057,0.946328367,0.164497298,0.501151851,0.816094085,-0.30000012,0.238236763,0.636503856,0.63449692,0.476991913,0.615938303,0.630390144,0.50945488
KTC.BK,Krungthai Card Public Company Limited,0.048334386,0.576733486,0.219185347,0.324758733,0.478644311,-0.459016826,0.105299813,0.681233933,0.60164271,0.455206564,0.631876607,0.60164271,0.457669785
LH.BK,Land and Houses Public Company Limited,0.040545749,0.467288735,0.136789231,0.35944865,0.504269754,-0.236847074,0.171189572,0.644730077,0.622176591,0.574470386,0.610796915,0.622176591,0.591309859
MINT.BK,Minor International Public Company Limited,0.032231243,0.358014203,0.248037751,0.249508492,0.391495784,-0.388392891,0.082986181,0.631876607,0.593429158,0.55554457,0.592287918,0.589322382,0.568689634
MTC.BK,Muangthai Capital Public Company Limited,-0.01572978,-0.12975562,0.267901969,0.075348374,0.107918173,-0.560454047,-0.028066136,0.640271493,0.561085973,0.528959276,0.595022624,0.574660633,0.567420814
